"자치구별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023
"자치구별(1)",합계출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,합계출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,합계출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,합계출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율
"자치구별(1)",소계,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,소계,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,소계,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,소계,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
"양천구",0.644,0.1,2.7,17.3,62.7,38.8,5.6,-,0.645,0.1,2.1,14.4,62.2,42.6,5.7,0.1,0.608,0.1,1.6,14.7,57.3,38.0,7.3,0.2,0.533,0.1,1.2,11.5,48.0,38.0,5.9,0.1
"강서구",0.675,0.2,3.7,16.5,63.0,43.8,7.7,-,0.617,0.2,2.9,12.7,57.5,41.4,8.0,0.1,0.588,0.3,2.3,11.4,53.0,42.1,7.5,0.3,0.545,0.1,2.2,9.4,45.7,42.2,8.8,0.1
"구로구",0.737,0.4,3.3,18.3,69.9,45.6,9.4,0.1,0.737,0.3,2.0,16.4,70.0,47.5,10.0,0.2,0.684,0.4,1.6,13.1,65.9,45.7,9.5,0.1,0.643,0.1,2.3,9.9,58.2,47.8,10.1,0.2
"금천구",0.668,0.7,5.7,17.9,60.0,41.8,7.2,0.2,0.612,0.3,3.0,13.1,53.6,41.4,9.7,0.7,0.588,0.8,1.9,13.9,49.7,41.2,9.2,0.0,0.559,0.0,2.7,10.0,47.8,41.7,8.6,0.4
"영등포구",0.705,0.6,1.8,13.7,65.1,49.8,10.1,0.2,0.713,0.5,1.9,12.1,68.2,50.6,9.1,0.3,0.671,0.4,1.4,9.5,57.7,52.9,12.1,0.2,0.635,0.7,1.5,7.3,54.3,51.9,11.1,0.3
"동작구",0.655,0.1,1.6,11.2,62.9,45.3,8.3,-,0.602,0.3,1.2,8.4,56.5,44.3,7.9,0.5,0.567,0.1,1.3,7.8,52.0,42.6,8.1,0.1,0.574,0.0,1.2,7.2,47.8,46.6,10.7,0.4
"관악구",0.474,0.4,2.2,7.2,38.7,37.3,7.8,0.3,0.437,0.3,1.6,6.7,33.7,35.7,7.3,0.1,0.422,0.0,1.2,4.7,31.0,34.1,8.8,0.2,0.394,0.3,0.9,4.4,26.0,34.0,9.3,0.2
"서초구",0.656,0.1,1.0,13.4,60.3,47.3,8.3,-,0.666,0.2,0.7,12.3,63.2,48.4,7.3,0.3,0.599,0.0,0.8,10.5,56.2,43.3,8.1,0.2,0.553,0.0,0.6,6.4,50.9,43.7,7.7,0.3
"강남구",0.537,0.4,2.3,10.5,49.6,36.3,7.1,0.2,0.523,0.4,0.6,8.9,47.8,38.5,7.0,0.1,0.490,0.1,0.3,7.1,44.4,37.3,7.3,0.1,0.558,0.1,0.7,8.1,47.8,45.3,8.0,0.5
"송파구",0.665,0.3,2.4,15.3,65.9,41.2,8.2,-,0.623,0.1,1.5,12.3,60.1,41.3,8.8,0.1,0.598,0.3,1.1,9.3,56.9,43.6,7.9,0.2,0.543,0.0,1.2,8.4,47.4,42.6,8.5,0.3
"강동구",0.748,0.3,3.2,19.5,71.0,47.0,8.0,0.1,0.797,0.2,2.8,18.5,75.2,51.9,9.5,0.3,0.719,0.2,2.0,14.7,66.8,49.3,9.7,0.2,0.629,0.2,1.3,11.3,57.7,45.8,8.8,0.2
