"시점","자치구별(1)",자치구별(2),행정구역(A),행정구역(A),청소구역(B),청소구역(B),수거지인구율(B/A) (%),배출량(C) (톤/일),처리량(D) (톤/일),수거율(D/C) (%),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일)
"시점","자치구별(1)",자치구별(2),면적 (㎢),인구 (명),면적 (㎢),인구 (명),소계,소계,소계,소계,소계,매립,소각,재활용,기타
"2021","합계",동작구,16.36,394364,16.36,394364,100.0,1013.8,1013.8,100.0,1013.8,31.5,69.2,912.1,1.0
"2021","합계",관악구,29.57,499449,29.57,499449,100.0,1729.2,1729.2,100.0,1729.2,51.0,110.9,1567.3,-
"2021","합계",서초구,46.98,416167,46.98,416167,100.0,4382.9,4382.9,100.0,4382.9,71.6,136.7,4171.2,3.4
"2021","합계",강남구,39.50,537800,39.50,537800,100.0,4194.1,4194.1,100.0,4194.1,41.6,214.0,3731.0,207.5
"2021","합계",송파구,33.88,663965,33.88,663965,100.0,3008.0,3008.0,100.0,3008.0,156.9,117.7,2709.5,23.8
"2021","합계",강동구,24.59,466472,24.59,466472,100.0,2980.3,2980.3,100.0,2980.3,45.3,87.5,2814.2,33.3
"2022","합계",소계,605.21,9667669,605.21,9667669,100.0,43214.8,43214.8,100.0,43214.8,1106.7,2466.1,38175.8,1466.2
"2022","합계",종로구,23.91,152211,23.91,152211,100.0,1044.4,1044.4,100.0,1044.4,18.2,101.3,923.5,1.4
"2022","합계",중구,9.96,130785,9.96,130785,100.0,1201.1,1201.1,100.0,1201.1,22.8,119.5,1057.9,0.8
"2022","합계",용산구,21.87,233284,21.87,233284,100.0,2594.8,2594.8,100.0,2594.8,17.8,89.8,2486.6,0.6
"2022","합계",성동구,16.82,288234,16.82,288234,100.0,2963.7,2963.7,100.0,2963.7,92.2,72.6,2741.4,57.5
"2022","합계",광진구,17.06,351252,17.06,351252,100.0,948.0,948.0,100.0,948.0,23.7,45.4,878.0,0.9
"2022","합계",동대문구,14.22,353601,14.22,353601,100.0,1476.1,1476.1,100.0,1476.1,26.0,89.6,1354.9,5.6
"2022","합계",중랑구,18.50,390140,18.50,390140,100.0,866.2,866.2,100.0,866.2,20.1,92.2,751.4,2.5
"2022","합계",성북구,24.58,441984,24.58,441984,100.0,1599.4,1599.4,100.0,1599.4,8.3,82.0,1487.5,21.5
"2022","합계",강북구,23.60,297702,23.60,297702,100.0,739.3,739.3,100.0,739.3,5.9,68.6,661.2,3.5
"2022","합계",도봉구,20.65,313989,20.65,313989,100.0,756.7,756.7,100.0,756.7,7.1,55.1,690.4,4.1
"2022","합계",노원구,35.44,508014,35.44,508014,100.0,1530.8,1530.8,100.0,1530.8,74.1,97.6,1358.1,1.0
"2022","합계",은평구,29.71,470602,29.71,470602,100.0,1309.1,1309.1,100.0,1309.1,106.7,46.1,1154.4,1.9
"2022","합계",서대문구,17.63,319554,17.63,319554,100.0,720.9,720.9,100.0,720.9,22.9,79.6,609.9,8.4
"2022","합계",마포구,23.85,375585,23.85,375585,100.0,1736.9,1736.9,100.0,1736.9,31.8,116.2,1555.4,33.5
"2022","합계",양천구,17.41,444010,17.41,444010,100.0,833.3,833.3,100.0,833.3,68.7,92.9,663.5,8.1
"2022","합계",강서구,41.45,574638,41.45,574638,100.0,4678.1,4678.1,100.0,4678.1,88.6,256.4,3357.8,975.3
"2022","합계",구로구,20.12,418418,20.12,418418,100.0,1395.3,1395.3,100.0,1395.3,43.5,104.4,1246.7,0.7
"2022","합계",금천구,13.02,242818,13.02,242818,100.0,1141.1,1141.1,100.0,1141.1,63.0,31.6,1044.7,1.8
"2022","합계",영등포구,24.55,398085,24.55,398085,100.0,2248.9,2248.9,100.0,2248.9,36.1,109.1,2086.9,16.8
"2022","합계",동작구,16.36,390432,16.36,390432,100.0,1064.0,1064.0,100.0,1064.0,37.3,73.5,951.6,1.5
"2022","합계",관악구,29.57,501226,29.57,501226,100.0,1342.4,1342.4,100.0,1342.4,54.7,88.0,1199.7,-
"2022","합계",서초구,46.97,408451,46.97,408451,100.0,2811.2,2811.2,100.0,2811.2,54.5,132.3,2618.3,6.0
"2022","합계",강남구,39.50,534103,39.50,534103,100.0,3685.8,3685.8,100.0,3685.8,45.4,232.7,3242.1,165.5
"2022","합계",송파구,33.88,664514,33.88,664514,100.0,2463.0,2463.0,100.0,2463.0,92.2,116.6,2107.4,146.8
"2022","합계",강동구,24.59,464037,24.59,464037,100.0,2064.6,2064.6,100.0,2064.6,44.9,73.0,1946.6,0.1
"2023","합계",소계,605.20,9638799,605.20,9638799,100.0,37322.0,37322.0,100.0,37322.0,894.9,2638.2,32168.3,1620.6
"2023","합계",종로구,23.91,150453,23.91,150453,100.0,875.5,875.5,100.0,875.5,15.8,98.1,744.3,17.4
"2023","합계",중구,9.96,131793,9.96,131793,100.0,949.0,949.0,100.0,949.0,18.1,124.3,801.6,5.1
"2023","합계",용산구,21.87,227106,21.87,227106,100.0,2353.4,2353.4,100.0,2353.4,13.6,90.9,2248.5,0.4
"2023","합계",성동구,16.82,284766,16.82,284766,100.0,2590.1,2590.1,100.0,2590.1,33.9,94.8,2364.7,96.7
