"구분별(1)",구분별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"구분별(1)",구분별(2),합계,합계,시설녹지,시설녹지,일반녹지,일반녹지,분리대,분리대,수벽,수벽,수림대,수림대,하천변조경,하천변조경,간이휴게소,간이휴게소,지하철환기구주변,지하철환기구주변,건물주변,건물주변,아파트 및 학교,아파트 및 학교,침수공간조성,침수공간조성,기타,기타,합계,합계,시설녹지,시설녹지,일반녹지,일반녹지,분리대,분리대,수벽,수벽,수림대,수림대,하천변조경,하천변조경,간이휴게소,간이휴게소,지하철환기구주변,지하철환기구주변,건물주변,건물주변,아파트 및 학교,아파트 및 학교,침수공간조성,침수공간조성,기타,기타,합계,합계,시설녹지,시설녹지,일반녹지,일반녹지,분리대,분리대,수벽,수벽,수림대,수림대,하천변조경,하천변조경,간이휴게소,간이휴게소,지하철환기구주변,지하철환기구주변,건물주변,건물주변,아파트 및 학교,아파트 및 학교,침수공간조성,침수공간조성,기타,기타,합계,합계,시설녹지,시설녹지,일반녹지,일반녹지,분리대,분리대,수벽,수벽,수림대,수림대,하천변조경,하천변조경,간이휴게소,간이휴게소,지하철환기구주변,지하철환기구주변,건물주변,건물주변,아파트 및 학교,아파트 및 학교,침수공간조성,침수공간조성,기타,기타
"구분별(1)",구분별(2),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡),개소 (개소),면적 (㎡)
"서울시",중랑구,296,538920,31,128913,131,92652,-,-,4,4405,6,54426,2,157340,41,37341,1,20,25,12252,54,51330,1,240,-,-,296,540034,31,128636,131,92652,-,-,3,4405,6,54426,2,157340,41,37152,-,-,25,12252,56,52930,1,240,-,-,294,539974,31,128636,129,92593,-,-,3,4405,6,54426,2,157340,41,37152,-,-,25,12252,56,52930,1,240,-,-,295,540357,31,128913,130,92699,-,-,3,4405,6,54426,2,157340,41,37152,-,-,25,12252,56,52930,1,240,-,-
"서울시",성북구,354,378545,60,134612,93,83469,1,1000,3,12955,4,19983,3,17003,60,33317,8,2080,50,16414,67,50505,1,6357,4,850,359,408471,62,163102,93,83469,1,1000,3,12955,4,19983,3,17003,58,33253,8,2080,53,17014,69,51405,1,6357,4,850,362,412861,64,165343,93,83469,1,1000,3,12955,4,19983,3,18553,58,33253,8,2080,53,17013,70,52005,1,6357,4,850,364,390282,62,142128,93,83469,1,1000,3,12955,4,19983,3,18553,58,33253,8,2080,57,17649,70,52005,1,6357,4,850
"서울시",강북구,196,136689,11,21317,73,24387,-,-,5,2110,-,-,8,5630,37,12793,1,50,27,33249,34,37153,-,-,-,-,210,138655,11,21317,73,24387,-,-,5,2110,-,-,8,5630,46,13574,1,50,27,33249,35,37933,1,100,3,305,214,139129,11,21317,74,24631,-,-,6,2210,-,-,8,5630,47,13604,1,50,27,33249,35,37933,1,100,4,405,214,139129,11,21317,74,24631,-,-,6,2210,-,-,8,5630,47,13604,1,50,27,33249,35,37933,1,100,4,405
"서울시",도봉구,318,257128,10,28663,175,84449,1,8511,4,1010,-,-,7,42300,33,27936,-,-,24,7420,50,55159,14,1680,-,-,321,263936,10,28665,175,84449,1,8511,4,1010,-,-,7,42300,33,27736,-,-,24,7420,50,55159,14,1680,3,7006,324,266372,9,27016,177,86559,1,8511,4,1010,-,-,7,42300,33,28166,-,-,24,7420,50,55359,14,1680,5,8351,327,271558,9,27015,177,86559,1,8511,4,1010,-,-,7,46300,36,29353,-,-,24,7420,50,55359,14,1680,5,8351
"서울시",노원구,397,648489,56,196085,132,67272,1,800,1,12000,14,114213,12,71053,23,10328,4,379,41,27345,109,141564,3,7350,1,100,405,660058,56,197553,132,67272,1,800,1,12000,14,114213,15,76658,23,10328,4,379,41,27345,114,146060,3,7350,1,100,415,673507,57,197839,56,63141,5,2800,-,-,45,77200,21,86658,49,52364,4,361,37,15759,118,171543,3,195,20,5647,417,674242,59,196154,56,63141,5,2800,-,-,45,77200,22,89178,49,52364,4,361,37,15759,118,171543,3,195,19,5547
"서울시",은평구,263,433718,54,132237,89,76751,18,6372,-,-,3,47500,3,33544,30,14850,-,-,25,20380,39,95284,2,6800,-,-,257,410163,46,108476,89,76751,18,6372,-,-,3,47500,3,33544,30,14850,-,-,27,20586,39,95284,2,6800,-,-,257,410163,46,108476,89,76751,18,6372,-,-,3,47500,3,33544,30,14850,-,-,27,20586,39,95284,2,6800,-,-,264,436444,55,134964,89,76751,18,6372,-,-,3,47500,3,33544,30,14850,-,-,25,20379,39,95284,2,6800,-,-
"서울시",서대문구,216,233528,34,118251,113,55914,11,2468,1,500,1,3000,2,13848,4,4281,-,-,15,5626,34,27370,1,2270,-,-,232,253427,36,135050,122,57779,12,2690,1,500,1,3000,2,13848,4,4281,-,-,18,6269,35,27740,1,2270,-,-,241,254797,36,135050,123,58139,18,3365,1,500,1,3000,3,14108,4,4281,-,-,18,6269,35,27740,1,2270,1,75,241,255637,36,135440,123,58589,18,3365,1,500,1,3000,3,14108,4,4281,-,-,18,6269,35,27740,1,2270,1,75
"서울시",마포구,419,884519,73,158544,124,373946,5,3590,6,3172,4,134037,4,22482,88,34455,2,1127,44,22370,56,50289,5,280,8,80227,421,886405,73,158543,125,374898,5,3590,6,3172,4,134037,4,22482,88,34455,2,1127,45,21885,56,50289,5,1700,8,80227,421,886405,73,158543,125,374898,5,3590,6,3172,4,134037,4,22482,88,34455,2,1127,45,21885,56,50289,5,1700,8,80227,419,885435,73,158544,125,374898,5,3590,6,3172,4,134037,4,22482,85,33107,2,1127,46,22262,56,50289,5,1700,8,80227
"서울시",양천구,246,471784,43,166878,60,73809,2,15638,12,22284,2,21268,1,13152,23,11373,4,363,24,12203,65,85226,6,7965,4,41625,250,477749,45,171903,61,74449,2,15638,12,22284,2,21268,1,13152,23,11373,4,363,24,12203,66,85526,6,7965,4,41625,254,481862,45,171903,63,74733,2,15638,12,22284,2,21268,1,13152,24,11472,4,363,24,12203,67,89256,6,7965,4,41625,254,481864,45,171905,63,74733,2,15638,12,22284,2,21268,1,13152,24,11472,4,363,24,12203,67,89256,6,7965,4,41625
"서울시",강서구,360,1154619,119,328752,64,689994,7,16493,4,4454,2,9940,-,-,5,462,1,1350,33,11367,87,72622,-,-,38,19185,359,1152736,117,326773,65,690090,7,16493,4,4454,2,9940,-,-,5,462,1,1350,33,11367,87,72622,-,-,38,19185,360,1152971,117,326771,65,690090,7,16493,4,4454,2,9940,-,-,5,462,1,1350,33,11367,87,72622,-,-,39,19422,363,1155792,119,328752,66,690930,7,16493,4,4454,2,9940,-,-,5,462,1,1350,33,11367,87,72622,-,-,39,19422
